name,price,image link,description
Red Swirl Glass Sherlock Water Pipe,103.32,20260220_162757.jpg,Red glass sherlock-style water pipe with dark swirl detailing.
Techno Blue Adjustable Torch Lighter,47.65,20260220_162804.jpg,Techno branded refillable butane torch lighter; metallic blue finish.
Blink Silver Plasma Arc Lighter,43.67,20260220_162833.jpg,Rechargeable Blink plasma arc lighter; silver metallic body.
Blink Carbon Fiber Torch Lighter,46.76,20260220_162839.jpg,Blink Torch lighter with carbon fiber design and angled nozzle.
Pink Bear Table Torch Lighter,25.64,20260220_162851.jpg,Metallic pink bear-shaped novelty refillable torch lighter.
Gun Style Table Torch Lighter,30.18,20260220_162906.jpg,Gun-shaped novelty refillable torch lighter; two-tone finish.
Rose Gold Sneaker Novelty Lighter,29.16,20260220_162916.jpg,Sneaker-shaped novelty refillable lighter; rose gold detailing.
Blue Blink Table Torch Lighter,48.38,20260220_162924.jpg,Blink Torch table lighter with blue and black body; angled flame nozzle.
Pistol Revolver Torch Lighter,41.18,20260220_162946.jpg,Revolver-style novelty refillable pistol torch lighter.
Techno Mini Torch Lighter Purple Pink,49.62,20260220_162951.jpg,Compact Techno refillable butane torch lighter; purple and pink finish.
Hunter Double Bullet Torch Lighter Gold,30.68,20260220_162952.jpg,Hunter double bullet novelty refillable torch lighter; gold finish.
RAW Classic Black King Size Slim Papers Box (50 Packs),6.12,20260220_163004.jpg,RAW Classic Black King Size Slim rolling papers; 50 packs per box; 32 leaves per pack.
RAW Classic King Size Slim Papers Box (50 Packs),21.01,20260220_163037.jpg,RAW Classic King Size Slim unbleached rolling papers; 50 packs per box; 32 leaves per pack.
RAW Pre-Rolled Tips 200 Count Bag,21.8,20260220_160230.jpg,RAW authentic pre-rolled tips; 200 tips per bag.
RAW Organic Hemp Artesano King Size Slim,5.68,20260220_160305.jpg,"RAW Organic Hemp Artesano kit; includes tray, papers, and tips; king size slim."
RAW Classic King Size Cones (32 Pack),18.02,20260220_160318.jpg,RAW Classic King Size pre-rolled cones; 32 cones per pack.
